month,Store,NPS,count_of_responses
2023-06,TIJUCA,87.03703703703704,54
2023-06,TUCURUVI,84.61538461538461,26
2023-07,BARRA DA TIJUCA,100.0,7
2023-07,BELO HORIZONTE,73.91304347826087,23
2023-07,CAMPINAS,95.23809523809523,21
2023-07,COPACABANA,91.66666666666666,24
2023-07,IPIRANGA,71.42857142857143,28
2023-07,ITAIM,71.42857142857143,21
2023-07,JARDINS,55.73770491803278,61
2023-07,LAPA,76.66666666666667,30
2023-07,LONDRINA,86.66666666666667,15
2023-07,MOEMA,84.21052631578947,19
2023-07,RIBEIRÃO PRETO,87.5,8
2023-07,SANTO AMARO,85.18518518518519,27
2023-07,SANTOS,89.13043478260869,46
2023-07,SOROCABA,67.3913043478261,46
2023-07,TATUAPÉ,77.19298245614034,57
2023-07,TIJUCA,84.78260869565217,46
2023-07,TUCURUVI,80.95238095238095,21
2023-08,BELO HORIZONTE,84.0,50
2023-08,CAMPINAS,80.55555555555556,36
2023-08,COPACABANA,63.46153846153847,52
2023-08,IPIRANGA,73.33333333333333,60
2023-08,ITAIM,38.0952380952381,21
2023-08,JARDINS,71.0,100
2023-08,LAPA,79.06976744186048,43
2023-08,LONDRINA,61.53846153846154,26
2023-08,MOEMA,72.09302325581395,43
2023-08,RIBEIRÃO PRETO,90.0,20
2023-08,SANTO AMARO,57.446808510638306,47
2023-08,SANTOS,87.34177215189874,79
2023-08,SOROCABA,75.0,52
2023-08,TATUAPÉ,74.68354430379746,79
2023-08,TIJUCA,86.04651162790698,86
2023-08,TUCURUVI,87.5,32
2023-09,BELO HORIZONTE,89.83050847457628,59
2023-09,CAMPINAS,91.17647058823529,34
2023-09,COPACABANA,84.61538461538461,52
2023-09,IPIRANGA,92.85714285714286,56
2023-09,ITAIM,95.45454545454545,22
2023-09,JARDINS,68.91891891891892,74
2023-09,LAPA,77.5,40
2023-09,LONDRINA,94.44444444444444,36
2023-09,MOEMA,76.47058823529412,34
2023-09,RIBEIRÃO PRETO,76.47058823529412,34
2023-09,SANTO AMARO,75.55555555555557,45
2023-09,SANTOS,78.0,50
